filename,speaker_id
2_speech_true_Ofen_aus,132
3_speech_true_Radio_an,132
4_speech_true_Alarm_an,132
9_speech_true_Radio_aus,132
11_speech_false_Fernseher_aus,132
13_speech_true_Heizung_an,132
14_speech_false_Licht_aus,132
16_speech_true_Fernseher_an,251
19_speech_false_Lüftung_aus,132
22_speech_false_Heizung_an,251
24_speech_true_Licht_an,132
27_speech_false_Fernseher_an_Licht_aus,89
28_speech_true_Heizung_aus,89
29_speech_false_Lüftung_an,89
33_speech_false_Staubsauger_an,89
34_speech_false_Radio_aus_Radio_an,89
35_speech_false_Ofen_aus,132
36_speech_false_Radio_an,214
37_speech_true_Radio_aus_Alarm_an,214
39_speech_false_Alarm_aus,132
40_speech_false_Staubsauger_aus_Heizung_an,214
42_speech_true_Ofen_aus,214
43_speech_false_Ofen_an,214
45_speech_false_Ofen_an,94
47_speech_false_Radio_aus_Licht_aus,94
48_speech_true_Staubsauger_an_Alarm_an,94
49_speech_true_Heizung_aus,132
50_speech_true_Fernseher_an,94
51_speech_true_Lüftung_an,94
52_speech_true_Heizung_an,94
53_speech_true_Licht_aus_Alarm_aus,94
54_speech_true_Ofen_aus,94
57_speech_true_Fernseher_an,132
63_speech_true_Staubsauger_an,132
65_speech_false_Fernseher_aus,35
68_speech_true_Heizung_an,35
72_speech_true_Ofen_an,132
74_speech_true_Staubsauger_aus_Ofen_aus,35
85_speech_false_Fernseher_an,126
88_speech_true_Lüftung_an,126
89_speech_true_Heizung_aus,126
90_speech_true_Staubsauger_aus,132
93_speech_false_Alarm_aus,132
96_speech_false_Licht_an_Heizung_an,124
97_speech_false_Lüftung_aus_Fernseher_an,124
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,124
102_speech_true_Licht_aus_Alarm_an,124
104_speech_false_Heizung_an_Staubsauger_an,124
105_speech_true_Heizung_an,137
107_speech_true_Lüftung_an,137
108_speech_true_Licht_aus,137
110_speech_false_Alarm_aus,132
120_speech_true_Licht_an,132
121_speech_true_Heizung_an,142
123_speech_true_Fernseher_an,132
124_speech_true_Lüftung_aus,132
128_speech_true_Alarm_an,132
129_speech_false_Heizung_aus_Licht_aus,142
130_speech_true_Licht_aus,129
132_speech_true_Fernseher_an,129
133_speech_true_Heizung_an,129
134_speech_false_Lüftung_aus,129
135_speech_true_Ofen_an_Radio_an,129
140_speech_true_Fernseher_an,132
141_speech_true_Radio_an,134
143_speech_false_Alarm_aus,134
146_speech_false_Ofen_an,134
148_speech_false_Lüftung_an,132
150_speech_false_Lüftung_aus_Heizung_aus,195
151_speech_true_Heizung_aus_Licht_aus,195
152_speech_true_Licht_an,195
153_speech_false_Radio_an,195
157_speech_true_Fernseher_aus,132
158_speech_false_Fernseher_an,132
164_speech_true_Heizung_aus,117
165_speech_false_Lüftung_aus,132
166_speech_true_Ofen_an_Radio_an,117
167_speech_false_Alarm_an,117
168_speech_true_Staubsauger_an,117
169_speech_false_Ofen_an_Radio_an,117
173_speech_false_Heizung_an,132
174_speech_true_Licht_aus,115
180_speech_true_Alarm_an_Staubsauger_an_Radio_an,204
183_speech_false_Fernseher_aus_Lüftung_aus,204
184_speech_true_Licht_an_Licht_aus,204
186_speech_false_Radio_an,204
191_speech_false_Lüftung_an,132
192_speech_false_Ofen_an,132
194_speech_false_Staubsauger_an,165
195_speech_true_Alarm_aus,165
199_speech_true_Radio_aus,243
200_speech_false_Licht_aus_Alarm_an,243
201_speech_false_Radio_an,243
204_speech_false_Lüftung_an,132
206_speech_true_Licht_an_Heizung_an,243
213_speech_false_Fernseher_an,193
215_speech_false_Heizung_aus_Licht_aus,193
216_speech_true_Fernseher_an_Licht_aus,193
217_speech_true_Lüftung_an,193
218_speech_false_Fernseher_an,132
221_speech_true_Heizung_aus_Lüftung_an,239
222_speech_true_Fernseher_aus,239
223_speech_false_Ofen_an,239
232_speech_true_Heizung_aus,235
235_speech_true_Staubsauger_an,95
236_speech_false_Ofen_an,132
238_speech_false_Heizung_an,132
240_speech_true_Licht_an_Radio_aus_Staubsauger_aus,51
249_speech_false_Alarm_aus,132
275_speech_false_Heizung_an,132
277_speech_false_Licht_aus_Lüftung_an,19
279_speech_false_Alarm_aus,19
280_speech_true_Radio_an,19
286_speech_false_Lüftung_an,209
287_speech_false_Fernseher_an_Heizung_aus_Licht_an_Lüftung_aus,209
293_speech_false_Fernseher_an,132
295_speech_false_Licht_aus_Lüftung_an,141
296_speech_true_Licht_an_Heizung_aus,141
297_speech_true_Fernseher_aus,141
298_speech_true_Alarm_aus,141
301_speech_true_Staubsauger_aus_Radio_an,141
302_speech_true_Radio_an,141
303_speech_false_Ofen_aus,132
307_speech_false_Radio_aus,171
308_speech_true_Heizung_an,171
310_speech_true_Radio_an,132
313_speech_false_Fernseher_an,132
315_speech_false_Heizung_an,50
318_speech_false_Ofen_aus,50
321_speech_true_Ofen_an,132
322_speech_true_Licht_aus_Alarm_an,50
323_speech_false_Fernseher_an,132
334_speech_false_Ofen_an,225
335_speech_true_Radio_aus,225
337_speech_false_Staubsauger_aus,225
339_speech_false_Heizung_an,168
341_speech_true_Lüftung_aus,132
342_speech_false_Fernseher_aus,168
348_speech_false_Alarm_aus,179
350_speech_false_Ofen_an,132
351_speech_true_Radio_aus,179
352_speech_false_Staubsauger_aus,179
358_speech_false_Ofen_an,81
360_speech_false_Radio_aus_Licht_aus,81
361_speech_true_Staubsauger_an_Alarm_an,81
362_speech_true_Heizung_aus,132
363_speech_false_Alarm_an,81
365_speech_false_Fernseher_an_Lüftung_aus,81
366_speech_true_Heizung_an_Licht_aus,81
368_speech_false_Radio_an_Radio_aus,44
372_speech_true_Alarm_an,132
382_speech_false_Staubsauger_an,132
